LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-11-28 13:17:05,1900-01-00 00:00:00,,D2:94:97:0D:E1:3D,-19, ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:05,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:06,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:07,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:07,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:07,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:07,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-19, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 13:17:07,1900-01-00 00:00:00,Redmi Note 10 Pro,D2:94:97:0D:E1:3D,-21, WPA2 ,0.000000,0.000000,0.000,0.000,AP
